signal_date,entry_date,exit_date,gross_return,turnover,net_return,benchmark_return
2010-07-30,2010-08-02,2010-09-01,0.011840123029732755,0.021768655363492873,0.011796070231890221,-0.04696831927534317
2010-08-31,2010-09-01,2010-10-01,0.07957750132450175,0.09338770684836117,0.07937586279007425,0.08315967148840664
2010-09-30,2010-10-01,2010-11-01,0.046005878884377724,0.12550477213689337,0.045743321425411265,0.03548109857781134
2010-10-29,2010-11-01,2010-12-01,0.01621024757118268,0.11847694210807941,0.015969452605840484,0.009489884108284885
2010-11-30,2010-12-01,2011-01-03,0.03231494017026949,0.17375462527411006,0.03195620117908127,0.059703421018074465
2010-12-31,2011-01-03,2011-02-01,-0.01002546462502595,0.09354830055422131,-0.010210685495778526,0.021703597529865393
2011-01-31,2011-02-01,2011-03-01,0.04284193914446406,0.05646463268977492,0.04272417177036947,0.031747319575963884
2011-02-28,2011-03-01,2011-04-01,-0.0017057261816154049,0.06384899806306582,-0.0018332063599261206,0.0031413490723832815
2011-03-31,2011-04-01,2011-05-02,0.06109933116090619,0.11854604486289816,0.06084775290307465,0.027433740785995697
2011-04-29,2011-05-02,2011-06-01,-0.013705813621550496,0.025342108179344125,-0.013755803169486214,-0.018676765195973943
2011-05-31,2011-06-01,2011-07-01,-0.02521332331249408,0.108904147601391,-0.02542563993672975,-0.013122499331316595
2011-06-30,2011-07-01,2011-08-01,0.0596349784881231,0.040111714487157224,0.05954997093668779,-0.00946343278178341
2011-07-29,2011-08-01,2011-09-01,0.0451166952349811,0.043653095863186,0.045025450076410456,-0.06534650012665377
2011-08-31,2011-09-01,2011-10-03,-0.07731052778113648,0.029067797110367333,-0.07736416888188513,-0.07537878972280998
2011-09-30,2011-10-03,2011-11-01,0.05004693901204674,0.09503668671737514,0.04984735304808385,0.08480781971058238
2011-10-31,2011-11-01,2011-12-01,0.017969975072021294,0.04138704122129061,0.017885713541380577,0.023108774715355995
2011-11-30,2011-12-01,2012-01-03,-0.039694011752005674,0.05857408454412821,-0.039806509840293436,0.029798327124987978
2011-12-30,2012-01-03,2012-02-01,0.08443998408605047,0.09922689328589795,0.08422477286489882,0.03545695578135821
2012-01-31,2012-02-01,2012-03-01,0.019430817033835646,0.07713100314832716,0.019273557590719248,0.03794684559354122
2012-02-29,2012-03-01,2012-04-02,0.01651957515157562,0.15402553738620578,0.016206435203923064,0.02874073722492576
2012-03-30,2012-04-02,2012-05-01,-0.00729075357280612,0.08417974344099594,-0.007457885592157654,-0.006044024500168832
2012-04-30,2012-05-01,2012-06-01,-0.06667522448292493,0.1567279612196576,-0.06696778066137021,-0.07425430673710032
2012-05-31,2012-06-01,2012-07-02,0.024491174462231955,0.15650239156608559,0.02417050382434871,0.0600966854971261
2012-06-29,2012-07-02,2012-08-01,0.008995319720428985,0.06386003165512172,0.008866450774314583,0.016266401757738302
2012-07-31,2012-08-01,2012-09-04,0.05054894831475096,0.003262618678769924,0.050542093233507446,0.016871194603235384
2012-08-31,2012-09-04,2012-10-01,0.03622571740328103,0.016770619308909773,0.03619096110923148,0.030143869585818273
2012-09-28,2012-10-01,2012-11-01,-0.04200050751369526,0.05907018043798973,-0.04211368591945652,-0.01985882049882315
2012-10-31,2012-11-01,2012-12-03,0.004034908584610167,0.01437633790128845,0.00400603989438908,0.008118079581664883
2012-11-30,2012-12-03,2013-01-02,-0.00293381261090637,0.032471554423062876,-0.002998565188840785,0.023383856304195927
2012-12-31,2013-01-02,2013-02-01,0.0008567295712812598,0.10573905215981938,0.0006450702874161163,0.03817786793561306
2013-01-31,2013-02-01,2013-03-01,-0.03657520767751653,0.00737349080275268,-0.036589415285207205,0.0029208831912854727
2013-02-28,2013-03-01,2013-04-01,0.020552591443317243,0.020679349107215694,0.020510382716675934,0.04101154989174316
2013-03-28,2013-04-01,2013-05-01,-0.038129336962371814,0.001041892170881964,-0.038131341293398235,0.017497640219223065
2013-04-30,2013-05-01,2013-06-03,0.007728554231119417,0.30923344637124983,0.007105307483456169,0.02824323711214327
2013-05-31,2013-06-03,2013-07-01,-0.04703740216179377,0.05087228325908866,-0.047134360928218766,-0.010478239133768441
2013-06-28,2013-07-01,2013-08-01,0.06410093078839318,0.041448402865100376,0.0640127202202565,0.05413611490239756
